str	G2	FW	PVB	SKT	IG	TL
121211112222	t	m	m	t	t	m
211211112222	t	m	m	t	t	f
111211112222	t	f	t	t	t	f
222111112222	t	t	f	t	t	f
122111112222	t	t	f	t	t	f
212111112222	t	t	m	m	t	f
112111112222	t	m	m	m	t	f
221111112222	t	t	f	t	t	f
121111112222	t	t	f	t	t	f
211111112222	t	t	m	m	t	f
111111112222	t	m	m	m	t	f
222222221222	t	f	f	t	t	t
122222221222	t	f	f	t	t	t
212222221222	t	f	m	t	t	m
112222221222	t	f	m	t	t	m
221222221222	t	f	f	t	t	t
121222221222	t	f	f	t	t	t
211222221222	t	f	m	t	t	m
111222221222	t	f	m	t	t	m
222122221222	t	m	f	m	t	t
122122221222	t	f	f	t	t	t
212122221222	t	m	m	m	t	m
112122221222	t	f	m	m	t	m
221122221222	t	m	f	m	t	t
121122221222	t	f	f	t	t	t
211122221222	t	m	m	m	t	m
111122221222	t	f	m	m	t	m
222212221222	t	f	f	t	t	t
122212221222	t	f	f	t	t	t
212212221222	t	f	t	t	t	f
112212221222	t	f	t	t	t	f
221212221222	t	f	f	t	t	t
121212221222	t	f	f	t	t	t
211212221222	t	f	t	t	t	f
111212221222	t	f	t	t	t	f
222112221222	t	m	f	m	t	m
122112221222	t	f	f	t	t	t
212112221222	t	m	m	m	t	f
112112221222	t	f	t	t	t	f
221112221222	t	m	f	m	t	m
121112221222	t	f	f	t	t	t
211112221222	t	m	m	m	t	f
111112221222	t	f	t	t	t	f
222221221222	t	f	m	m	t	t
122221221222	t	f	m	m	t	t
212221221222	t	f	t	m	t	m
112221221222	t	f	t	m	t	m
221221221222	t	f	m	m	t	t
121221221222	t	f	m	m	t	t
211221221222	t	f	t	m	t	m
111221221222	t	f	t	m	t	m
222121221222	t	m	m	f	t	t
122121221222	t	f	t	f	t	t
212121221222	t	m	t	f	t	m
112121221222	t	f	t	f	t	t
221121221222	t	m	m	f	t	t
121121221222	t	f	t	f	t	t
211121221222	t	m	t	f	t	m
111121221222	t	f	t	f	t	t
222211221222	t	f	m	m	t	m
122211221222	t	f	m	m	t	m
212211221222	t	f	t	t	t	f
112211221222	t	f	t	t	t	f
221211221222	t	f	m	m	t	m
121211221222	t	f	m	m	t	m
211211221222	t	f	t	t	t	f
111211221222	t	f	t	t	t	f
222111221222	t	m	m	f	t	m
122111221222	t	f	t	f	t	t
212111221222	t	t	t	f	t	f
112111221222	t	m	t	m	t	m
221111221222	t	m	m	f	t	m
121111221222	t	f	t	f	t	t
211111221222	t	t	t	f	t	f
111111221222	t	m	t	m	t	m
222222121222	t	f	f	t	t	t
122222121222	t	f	f	t	t	t
212222121222	t	f	t	t	t	f
112222121222	t	f	t	t	t	f
221222121222	t	f	f	t	t	t
121222121222	t	f	f	t	t	t
211222121222	t	f	t	t	t	f
111222121222	t	f	t	t	t	f
222122121222	t	m	f	t	t	m
122122121222	t	f	f	t	t	t
212122121222	t	m	m	t	t	f
112122121222	t	f	t	t	t	f
221122121222	t	m	f	t	t	m
121122121222	t	f	f	t	t	t
211122121222	t	m	m	t	t	f
111122121222	t	f	t	t	t	f
222212121222	t	m	m	t	t	m
122212121222	t	f	f	t	t	t
212212121222	t	f	t	t	t	f
112212121222	t	f	t	t	t	f
221212121222	t	m	m	t	t	m
121212121222	t	f	f	t	t	t
211212121222	t	f	t	t	t	f
111212121222	t	f	t	t	t	f
222112121222	t	t	f	t	t	f
122112121222	t	m	m	t	t	m
212112121222	t	m	m	t	t	f
112112121222	t	f	t	t	t	f
221112121222	t	t	f	t	t	f
121112121222	t	m	m	t	t	m
211112121222	t	m	m	t	t	f
111112121222	t	f	t	t	t	f
222221121222	t	f	f	t	t	t
122221121222	t	f	f	t	t	t
212221121222	t	f	t	t	t	f
112221121222	t	f	t	t	t	f
221221121222	t	f	f	t	t	t
121221121222	t	f	f	t	t	t
211221121222	t	f	t	t	t	f
111221121222	t	f	t	t	t	f
222121121222	t	m	m	m	t	m
122121121222	t	f	m	m	t	m
212121121222	t	m	t	m	t	f
112121121222	t	f	t	t	t	f
221121121222	t	m	m	m	t	m
121121121222	t	f	m	m	t	m
211121121222	t	m	t	m	t	f
111121121222	t	f	t	t	t	f
222211121222	t	f	t	t	t	f
122211121222	t	f	t	t	t	f
212211121222	t	f	t	t	t	f
112211121222	t	f	t	t	t	f
221211121222	t	f	t	t	t	f
121211121222	t	f	t	t	t	f
211211121222	t	f	t	t	t	f
111211121222	t	f	t	t	t	f
222111121222	t	m	m	m	t	f
122111121222	t	f	t	t	t	f
212111121222	t	m	t	m	t	f
112111121222	t	f	t	t	t	f
221111121222	t	m	m	m	t	f
121111121222	t	f	t	t	t	f
211111121222	t	m	t	m	t	f
111111121222	t	f	t	t	t	f
222222211222	t	f	f	t	t	t
122222211222	t	f	f	t	t	t
212222211222	t	f	f	t	t	t
112222211222	t	f	f	t	t	t
221222211222	t	f	f	t	t	t
121222211222	t	f	f	t	t	t
211222211222	t	f	f	t	t	t
111222211222	t	f	f	t	t	t
222122211222	t	m	f	m	t	t
122122211222	t	f	f	t	t	t
212122211222	t	m	f	m	t	m
112122211222	t	f	f	t	t	t
221122211222	t	m	f	m	t	t
121122211222	t	f	f	t	t	t
211122211222	t	m	f	m	t	m
111122211222	t	f	f	t	t	t
222212211222	t	f	f	t	t	t
122212211222	t	f	f	t	t	t
212212211222	t	m	m	t	t	m
112212211222	t	f	m	t	t	m
221212211222	t	f	f	t	t	t
121212211222	t	f	f	t	t	t
211212211222	t	m	m	t	t	m
111212211222	t	f	m	t	t	m
222112211222	t	m	f	m	t	m
122112211222	t	f	f	t	t	t
212112211222	t	t	f	t	t	f
112112211222	t	m	m	t	t	m
221112211222	t	m	f	m	t	m
121112211222	t	f	f	t	t	t
211112211222	t	t	f	t	t	f
111112211222	t	m	m	t	t	m
222221211222	t	f	f	t	t	t
122221211222	t	f	f	t	t	t
212221211222	t	f	m	m	t	m
112221211222	t	f	m	m	t	m
221221211222	t	f	f	t	t	t
121221211222	t	f	f	t	t	t
211221211222	t	f	m	m	t	m
111221211222	t	f	m	m	t	m
222121211222	t	t	f	f	t	t
122121211222	t	m	m	m	t	t
212121211222	t	m	m	f	t	m
112121211222	t	f	t	f	t	t
221121211222	t	t	f	f	t	t
121121211222	t	m	m	m	t	t
211121211222	t	m	m	f	t	m
111121211222	t	f	t	f	t	t
222211211222	t	f	f	t	t	t
122211211222	t	f	f	t	t	t
212211211222	t	f	t	t	t	f
112211211222	t	f	t	t	t	f
221211211222	t	f	f	t	t	t
121211211222	t	f	f	t	t	t
211211211222	t	f	t	t	t	f
111211211222	t	f	t	t	t	f
222111211222	t	t	f	f	t	t
122111211222	t	m	m	m	t	t
212111211222	t	t	t	f	t	f
112111211222	t	m	t	m	t	m
221111211222	t	t	f	f	t	t
121111211222	t	m	m	m	t	t
211111211222	t	t	t	f	t	f
111111211222	t	m	t	m	t	m
222222111222	t	f	f	t	t	t
122222111222	t	f	f	t	t	t
212222111222	t	m	m	t	t	m
112222111222	t	f	m	t	t	m
221222111222	t	f	f	t	t	t
121222111222	t	f	f	t	t	t
211222111222	t	m	m	t	t	m
111222111222	t	f	m	t	t	m
222122111222	t	m	f	t	t	m
122122111222	t	f	f	t	t	t
212122111222	t	t	f	t	t	f
112122111222	t	m	m	t	t	m
221122111222	t	m	f	t	t	m
121122111222	t	f	f	t	t	t
211122111222	t	t	f	t	t	f
111122111222	t	m	m	t	t	m
222212111222	t	m	f	t	t	m
122212111222	t	f	f	t	t	t
212212111222	t	m	m	t	t	f
112212111222	t	f	t	t	t	f
221212111222	t	m	f	t	t	m
121212111222	t	f	f	t	t	t
211212111222	t	m	m	t	t	f
111212111222	t	f	t	t	t	f
222112111222	t	t	f	t	t	f
122112111222	t	m	f	t	t	m
212112111222	t	t	f	t	t	f
112112111222	t	m	m	t	t	f
221112111222	t	t	f	t	t	f
121112111222	t	m	f	t	t	m
211112111222	t	t	f	t	t	f
111112111222	t	m	m	t	t	f
222221111222	t	f	f	t	t	t
122221111222	t	f	f	t	t	t
212221111222	t	f	t	t	t	f
112221111222	t	f	t	t	t	f
221221111222	t	f	f	t	t	t
121221111222	t	f	f	t	t	t
211221111222	t	f	t	t	t	f
111221111222	t	f	t	t	t	f
222121111222	t	m	f	m	t	m
122121111222	t	f	f	t	t	t
212121111222	t	m	m	m	t	f
112121111222	t	f	t	t	t	f
221121111222	t	m	f	m	t	m
121121111222	t	f	f	t	t	t
211121111222	t	m	m	m	t	f
111121111222	t	f	t	t	t	f
222211111222	t	m	m	t	t	m
122211111222	t	f	f	t	t	t
212211111222	t	f	t	t	t	f
112211111222	t	f	t	t	t	f
221211111222	t	m	m	t	t	m
121211111222	t	f	f	t	t	t
211211111222	t	f	t	t	t	f
111211111222	t	f	t	t	t	f
222111111222	t	t	f	t	t	f
122111111222	t	m	m	t	t	m
212111111222	t	m	m	m	t	f
112111111222	t	f	t	t	t	f
221111111222	t	t	f	t	t	f
121111111222	t	m	m	t	t	m
211111111222	t	m	m	m	t	f
111111111222	t	f	t	t	t	f
222222222122	t	f	f	t	t	t
122222222122	t	f	f	t	t	t
212222222122	t	f	f	t	t	t
112222222122	t	f	f	t	t	t
221222222122	t	f	f	t	t	t
121222222122	t	f	f	t	t	t
211222222122	t	f	f	t	t	t
111222222122	t	f	f	t	t	t
222122222122	t	t	f	f	t	t
122122222122	t	m	f	m	t	t
212122222122	t	t	f	f	t	t
112122222122	t	m	m	m	t	t
221122222122	t	t	f	f	t	t
121122222122	t	m	f	m	t	t
211122222122	t	t	f	f	t	t
111122222122	t	m	m	m	t	t
222212222122	t	f	f	t	t	t
122212222122	t	f	f	t	t	t
212212222122	t	m	m	t	t	m
112212222122	t	f	m	t	t	m
221212222122	t	f	f	t	t	t
121212222122	t	f	f	t	t	t
211212222122	t	m	m	t	t	m
111212222122	t	f	m	t	t	m
222112222122	t	t	f	f	t	t
122112222122	t	m	f	m	t	t
212112222122	t	t	m	m	t	m
112112222122	t	m	m	m	t	m
221112222122	t	t	f	f	t	t
121112222122	t	m	f	m	t	t
211112222122	t	t	m	m	t	m
111112222122	t	m	m	m	t	m
222221222122	t	m	m	m	t	t
122221222122	t	f	m	m	t	t
212221222122	t	f	t	f	t	t
112221222122	t	f	t	f	t	t
221221222122	t	m	m	m	t	t
121221222122	t	f	m	m	t	t
211221222122	t	f	t	f	t	t
111221222122	t	f	t	f	t	t
222121222122	t	t	f	f	t	t
122121222122	t	m	m	f	t	t
212121222122	m	m	m	f	t	m
112121222122	t	f	t	f	t	t
221121222122	t	t	f	f	t	t
121121222122	t	m	m	f	t	t
211121222122	t	m	m	f	t	m
111121222122	t	f	t	f	t	t
222211222122	t	m	m	m	t	t
122211222122	t	f	m	m	t	t
212211222122	t	m	t	m	t	m
112211222122	t	f	t	m	t	m
221211222122	t	m	m	m	t	t
121211222122	t	f	m	m	t	t
211211222122	t	m	t	m	t	m
111211222122	t	f	t	m	t	m
222111222122	t	t	f	f	t	t
122111222122	t	m	m	f	t	t
212111222122	t	t	t	f	t	f
112111222122	t	m	t	f	t	m
221111222122	t	t	f	f	t	t
121111222122	t	m	m	f	t	t
211111222122	t	t	t	f	t	f
111111222122	t	m	t	f	t	m
222222122122	t	f	f	t	t	t
122222122122	t	f	f	t	t	t
212222122122	t	m	m	t	t	m
112222122122	t	f	m	t	t	m
221222122122	t	f	f	t	t	t
121222122122	t	f	f	t	t	t
211222122122	t	m	m	t	t	m
111222122122	t	f	m	t	t	m
222122122122	m	m	f	m	t	m
122122122122	t	f	f	t	t	t
212122122122	t	t	f	t	t	f
112122122122	t	m	m	t	t	m
221122122122	t	m	f	m	t	m
121122122122	t	f	f	t	t	t
211122122122	t	t	f	t	t	f
111122122122	t	m	m	t	t	m
222212122122	t	m	f	t	t	m
122212122122	t	f	f	t	t	t
212212122122	t	m	m	t	t	f
112212122122	t	f	t	t	t	f
221212122122	t	m	f	t	t	m
121212122122	t	f	f	t	t	t
211212122122	t	m	m	t	t	f
111212122122	t	f	t	t	t	f
222112122122	t	t	f	t	t	f
122112122122	t	m	f	t	t	m
212112122122	t	t	f	t	t	f
112112122122	t	m	m	t	t	f
221112122122	t	t	f	t	t	f
121112122122	t	m	f	t	t	m
211112122122	t	t	f	t	t	f
111112122122	t	m	m	t	t	f
222221122122	t	f	f	t	t	t
122221122122	t	f	f	t	t	t
212221122122	t	f	t	t	t	f
112221122122	t	f	t	t	t	f
221221122122	t	f	f	t	t	t
121221122122	t	f	f	t	t	t
211221122122	t	f	t	t	t	f
111221122122	t	f	t	t	t	f
222121122122	t	t	f	f	t	t
122121122122	t	m	m	m	t	t
212121122122	t	t	t	f	t	f
112121122122	t	m	t	m	t	m
221121122122	t	t	f	f	t	t
121121122122	t	m	m	m	t	t
211121122122	t	t	t	f	t	f
111121122122	t	m	t	m	t	m
222211122122	t	m	m	t	t	m
122211122122	t	f	f	t	t	t
212211122122	t	f	t	t	t	f
112211122122	t	f	t	t	t	f
221211122122	t	m	m	t	t	m
121211122122	t	f	f	t	t	t
211211122122	t	f	t	t	t	f
111211122122	t	f	t	t	t	f
222111122122	t	t	m	m	t	m
122111122122	t	m	m	m	t	m
212111122122	t	t	t	f	t	f
112111122122	t	m	t	m	t	f
221111122122	t	t	m	m	t	m
121111122122	t	m	m	m	t	m
211111122122	t	t	t	f	t	f
111111122122	t	m	t	m	t	f
222222212122	t	f	f	t	t	t
122222212122	t	f	f	t	t	t
212222212122	t	f	f	t	t	t
112222212122	t	f	f	t	t	t
221222212122	t	f	f	t	t	t
121222212122	t	f	f	t	t	t
211222212122	t	f	f	t	t	t
111222212122	t	f	f	t	t	t
222122212122	t	t	f	f	t	t
122122212122	t	m	f	m	t	t
212122212122	t	t	f	f	t	t
112122212122	t	m	f	m	t	t
221122212122	t	t	f	f	t	t
121122212122	t	m	f	m	t	t
211122212122	t	t	f	f	t	t
111122212122	t	m	f	m	t	t
222212212122	t	f	f	t	t	t
122212212122	t	f	f	t	t	t
212212212122	t	m	f	t	t	m
112212212122	t	f	f	t	t	t
221212212122	t	f	f	t	t	t
121212212122	t	f	f	t	t	t
211212212122	t	m	f	t	t	m
111212212122	t	f	f	t	t	t
222112212122	t	t	f	f	t	t
122112212122	t	m	f	m	t	t
212112212122	t	t	f	m	t	m
112112212122	t	m	f	m	t	m
221112212122	t	t	f	f	t	t
121112212122	t	m	f	m	t	t
211112212122	t	t	f	m	t	m
111112212122	t	m	f	m	t	m
222221212122	t	f	f	t	t	t
122221212122	t	f	f	t	t	t
212221212122	t	m	m	m	t	t
112221212122	t	f	m	m	t	t
221221212122	t	f	f	t	t	t
121221212122	t	f	f	t	t	t
211221212122	t	m	m	m	t	t
111221212122	t	f	m	m	t	t
222121212122	t	t	f	f	t	t
122121212122	t	t	f	f	t	t
212121212122	t	t	f	f	t	t
112121212122	t	m	m	f	t	t
221121212122	t	t	f	f	t	t
121121212122	t	t	f	f	t	t
211121212122	t	t	f	f	t	t
111121212122	t	m	m	f	t	t
222211212122	t	f	f	t	t	t
122211212122	t	f	f	t	t	t
212211212122	t	m	m	m	t	m
112211212122	t	f	m	m	t	m
221211212122	t	f	f	t	t	t
121211212122	t	f	f	t	t	t
211211212122	t	m	m	m	t	m
111211212122	t	f	m	m	t	m
222111212122	t	t	f	f	t	t
122111212122	t	t	f	f	t	t
212111212122	t	t	m	f	t	m
112111212122	t	m	m	f	t	m
221111212122	t	t	f	f	t	t
121111212122	t	t	f	f	t	t
211111212122	t	t	m	f	t	m
111111212122	t	m	m	f	t	m
222222112122	t	f	f	t	t	t
122222112122	t	f	f	t	t	t
212222112122	t	m	f	t	t	m
112222112122	t	f	f	t	t	t
221222112122	t	f	f	t	t	t
121222112122	t	f	f	t	t	t
211222112122	t	m	f	t	t	m
111222112122	t	f	f	t	t	t
222122112122	t	m	f	m	t	m
122122112122	t	f	f	t	t	t
212122112122	t	t	f	t	t	f
112122112122	t	m	f	t	t	m
221122112122	t	m	f	m	t	m
121122112122	t	f	f	t	t	t
211122112122	t	t	f	t	t	f
111122112122	t	m	f	t	t	m
222212112122	t	m	f	t	t	m
122212112122	t	f	f	t	t	t
212212112122	t	t	f	t	t	f
112212112122	t	m	m	t	t	m
221212112122	t	m	f	t	t	m
121212112122	t	f	f	t	t	t
211212112122	t	t	f	t	t	f
111212112122	t	m	m	t	t	m
222112112122	t	t	f	t	t	f
122112112122	t	m	f	t	t	m
212112112122	t	t	f	t	t	f
112112112122	t	t	f	t	t	f
221112112122	t	t	f	t	t	f
121112112122	t	m	f	t	t	m
211112112122	t	t	f	t	t	f
111112112122	t	t	f	t	t	f
222221112122	t	f	f	t	t	t
122221112122	t	f	f	t	t	t
212221112122	t	m	m	t	t	m
112221112122	t	f	m	t	t	m
221221112122	t	f	f	t	t	t
121221112122	t	f	f	t	t	t
211221112122	t	m	m	t	t	m
111221112122	t	f	m	t	t	m
222121112122	t	t	f	f	t	t
122121112122	t	m	f	m	t	t
212121112122	t	t	m	m	t	m
112121112122	t	m	m	m	t	m
221121112122	t	t	f	f	t	t
121121112122	t	m	f	m	t	t
211121112122	t	t	m	m	t	m
111121112122	t	m	m	m	t	m
222211112122	t	m	f	t	t	m
122211112122	t	f	f	t	t	t
212211112122	t	m	m	t	t	f
112211112122	t	f	t	t	t	f
221211112122	t	m	f	t	t	m
121211112122	t	f	f	t	t	t
211211112122	t	m	m	t	t	f
111211112122	t	f	t	t	t	f
222111112122	t	t	f	t	t	f
122111112122	t	m	f	m	t	m
212111112122	t	t	m	m	t	f
112111112122	t	m	m	m	t	f
221111112122	t	t	f	t	t	f
121111112122	t	m	f	m	t	m
211111112122	t	t	m	m	t	f
111111112122	t	m	m	m	t	f
222222221122	t	f	f	t	t	t
122222221122	t	f	f	t	t	t
212222221122	t	f	f	t	t	t
112222221122	t	f	f	t	t	t
221222221122	t	f	f	t	t	t
121222221122	t	f	f	t	t	t
211222221122	t	f	f	t	t	t
111222221122	t	f	f	t	t	t
222122221122	t	m	f	m	t	t
122122221122	t	f	f	t	t	t
212122221122	t	m	m	m	t	t
112122221122	t	f	f	t	t	t
221122221122	t	m	f	m	t	t
121122221122	t	f	f	t	t	t
211122221122	t	m	m	m	t	t
111122221122	t	f	f	t	t	t
222212221122	t	f	f	t	t	t
122212221122	t	f	f	t	t	t
212212221122	t	f	m	t	t	m
112212221122	t	f	m	t	t	m
221212221122	t	f	f	t	t	t
121212221122	t	f	f	t	t	t
211212221122	t	f	m	t	t	m
111212221122	t	f	m	t	t	m
222112221122	t	m	f	m	t	t
122112221122	t	f	f	t	t	t
212112221122	t	m	m	m	t	m
112112221122	t	f	m	m	t	m
221112221122	t	m	f	m	t	t
121112221122	t	f	f	t	t	t
211112221122	t	m	m	m	t	m
111112221122	t	f	m	m	t	m
222221221122	t	f	m	m	t	t
122221221122	t	f	m	m	t	t
212221221122	t	f	t	f	t	t
112221221122	t	f	t	f	t	t
221221221122	t	f	m	m	t	t
121221221122	t	f	m	m	t	t
211221221122	t	f	t	f	t	t
111221221122	t	f	t	f	t	t
222121221122	t	m	m	f	t	t
122121221122	t	f	t	f	t	t
212121221122	t	f	t	f	t	t
112121221122	t	f	t	f	t	t
221121221122	t	m	m	f	t	t
121121221122	t	f	t	f	t	t
211121221122	t	f	t	f	t	t
111121221122	t	f	t	f	t	t
222211221122	t	f	m	m	t	t
122211221122	t	f	m	m	t	t
212211221122	t	f	t	m	t	m
112211221122	t	f	t	m	t	m
